"id_persediaan","id_produk","tanggal_update","stok_awal","stok_masuk","stok_keluar","stok_akhir","nilai_persediaan"
"S001","P101","2024-01-01","1000.00","500.00","200.00","1300.00","2600000"
"S002","P102","2024-01-05","800.00","300.00","150.00","950.00","1900000"
"S003","P103","2024-01-10","600.00","450.00","300.00","750.00","1500000"
"S004","P101","2024-01-15","1300.00","700.00","500.00","1500.00","3000000"
"S005","P104","2024-01-20","400.00","200.00","100.00","500.00","1000000"
"S006","P105","2024-01-25","500.00","350.00","250.00","600.00","1200000"
"S007","P101","2024-02-01","1500.00","800.00","600.00","1700.00","3400000"
"S008","P102","2024-02-05","950.00","400.00","200.00","1150.00","2300000"
"S009","P103","2024-02-10","750.00","500.00","400.00","850.00","1700000"
"S010","P104","2024-02-15","500.00","250.00","150.00","600.00","1200000"
"S011","P105","2024-02-20","600.00","300.00","200.00","700.00","1400000"
"S012","P101","2024-02-25","1700.00","600.00","300.00","2000.00","4000000"
"S013","P102","2024-03-01","1150.00","450.00","350.00","1250.00","2500000"
"S014","P103","2024-03-05","850.00","550.00","450.00","950.00","1900000"
"S015","P104","2024-03-10","600.00","200.00","100.00","700.00","1400000"
"S016","P105","2024-03-15","700.00","250.00","150.00","800.00","1600000"
"S017","P101","2024-03-20","2000.00","750.00","500.00","2250.00","4500000"
"S018","P102","2024-03-25","1250.00","300.00","200.00","1350.00","2700000"
"S019","P103","2024-03-30","950.00","400.00","250.00","1100.00","2200000"
"S020","P104","2024-04-01","700.00","500.00","200.00","1000.00","2000000"
